frame,track,x,y,width,height,angle,n,ignore,track_fixed
1,1,557.1133787,304.7860922,37.57768811,45.31036816,67.18454628,1323,FALSE,1
1,2,503.782304,297.1397284,50.24656967,58.55096897,75.59481696,2283,FALSE,2
1,3,463.7934872,260.9208574,54.0072534,57.36282211,110.8853928,2426,FALSE,3
1,4,404.7944481,196.6146728,42.95021176,44.98648132,54.46063429,1513,FALSE,4
2,2,507.3890072,304.5658287,51.00460706,59.23950903,80.38724821,2347,FALSE,2
2,1,562.9158879,308.3146417,37.09789364,44.36262919,55.68810475,1284,FALSE,1
2,3,470.6587658,264.8442991,54.25619529,57.54312212,119.6076382,2447,FALSE,3
2,4,407.6599084,196.1994768,43.08856444,45.30517338,65.21529504,1529,FALSE,4
3,2,510.8801863,311.438188,50.90470334,59.94474203,87.87986865,2362,FALSE,2
3,1,565.3718876,310.4562249,36.33153168,44.11139188,48.53034065,1245,FALSE,1
3,3,477.0249693,268.7691363,54.17639721,57.51821493,113.4664245,2443,FALSE,3
3,4,411.2359109,195.8243775,43.27647366,45.02262532,50.88999122,1526,FALSE,4
4,2,512.5868012,315.1223203,51.40955871,59.81716201,94.47601872,2379,FALSE,2
4,1,564.4744409,312.0551118,36.46725579,44.7533212,48.37347172,1252,FALSE,1
4,3,481.5108153,271.3560732,53.90213579,56.85931634,106.5917817,2404,FALSE,3
4,4,414.4826923,195.324359,44.0405207,45.19446067,56.55214396,1560,FALSE,4
5,2,512.0358362,317.3835324,51.03755959,59.39956875,96.8530308,2344,FALSE,2
5,1,563.3653413,314.2963241,37.30093191,45.98201033,36.64897144,1333,FALSE,1
5,3,483.8820852,271.3061647,54.37737555,56.66420227,112.3925654,2417,FALSE,3
5,4,417.3953033,194.7977821,43.3059371,45.22560334,63.4813244,1533,FALSE,4
6,2,515.7358088,315.8826291,51.54953582,58.67577344,90.10029416,2343,FALSE,2
6,1,564.3991131,317.5181079,38.95960206,44.35202119,30.04140837,1353,FALSE,1
6,3,485.3224181,272.0915197,53.42131311,56.84486194,104.524983,2382,FALSE,3
6,4,421.1784314,194.3764706,43.54397842,44.82331058,58.51566165,1530,FALSE,4
7,2,519.3907035,319.3877722,51.17070298,60.23433306,88.65827663,2388,FALSE,2
7,1,569.1521555,320.2502113,35.11531486,43.71169703,19.68577564,1183,FALSE,1
7,3,488.9417679,275.1055718,53.46405629,56.91466554,106.5915184,2387,FALSE,3
7,4,424.6864295,194.2259552,42.86304809,45.2026336,68.84803629,1518,FALSE,4
8,2,521.811691,325.9365344,51.20439731,60.33173269,91.97038409,2395,FALSE,2
8,1,572.3482217,323.2605459,35.57679205,44.35442723,10.35337672,1209,FALSE,1
8,3,494.6912863,279.6107884,53.83377445,57.08112586,112.2167633,2410,FALSE,3
8,4,428.6695138,193.457293,43.14084004,45.06468418,70.55156525,1522,FALSE,4
9,2,522.9125053,330.7682458,52.1297277,57.9303344,99.62593785,2343,FALSE,2
9,1,572.4590774,326.7321429,40.59683695,42.59983434,16.79777879,1344,FALSE,1
9,3,498.9946348,283.128766,54.202863,56.98762951,111.8053743,2423,FALSE,3
9,4,431.2814332,194.1693811,43.51017809,45.04609992,59.84298747,1535,FALSE,4
10,2,521.6600432,335.6704104,51.49738347,57.7263402,113.9215915,2315,FALSE,2
10,1,568.6542324,332.2266858,40.6975387,43.95007876,10.70139797,1394,FALSE,1
10,3,502.7438322,285.0801809,54.62676346,56.77275296,123.0894572,2432,FALSE,3
10,4,431.2864721,194.1823607,42.95585879,44.8131337,59.796931,1508,FALSE,4
11,2,522.55186,343.852954,50.80383549,57.77920052,135.6546268,2285,FALSE,2
11,1,567.7391304,345.3715415,38.79634552,41.77710228,52.72197987,1265,FALSE,1
11,3,510.2397204,289.5456414,54.06440503,57.41711838,123.5022198,2432,FALSE,3
11,4,431.388961,194.4961039,43.40095457,45.32759418,61.06961673,1540,FALSE,4
12,1,569.1936186,359.6823785,39.61311586,44.61406189,5.074017014,1379,FALSE,1
12,2,522.6923408,346.9862306,50.94960513,58.5353999,124.4038128,2324,FALSE,2
12,3,514.0118852,292.417623,54.55467394,57.13049193,142.0493802,2440,FALSE,3
12,4,431.6533158,194.54826,43.20247936,45.01357989,49.7991217,1523,FALSE,4
13,1,567.6079681,361.3067729,37.44449998,43.34647339,175.1747213,1255,FALSE,1
13,2,518.073602,346.078125,51.14595312,61.37668887,116.3536347,2432,FALSE,2
13,3,514.4593919,292.1557684,54.59596355,56.18010266,137.0485403,2401,FALSE,3
13,4,431.9661238,194.8039088,43.42279059,45.1571088,47.98763328,1535,FALSE,4
14,1,562.0540146,362.8766423,39.54055332,44.90265748,148.3929105,1370,FALSE,1
14,2,513.907234,349.4502128,50.9619695,59.14138034,127.0327127,2350,FALSE,2
14,3,517.1553834,294.9070147,54.74458536,57.36139422,167.0546902,2452,FALSE,3
14,4,432.7768489,194.562701,43.68404701,45.45557195,50.98487278,1555,FALSE,4
15,1,565.3825758,362.0954545,39.16822198,44.14966679,151.4313606,1320,FALSE,1
15,2,515.6198805,354.7295222,50.68922229,59.37582808,129.1065692,2344,FALSE,2
15,3,520.8853192,300.1659211,54.63384137,57.69450541,162.2655847,2459,FALSE,3
15,4,432.5459283,194.8351792,43.53603044,45.0222064,44.20401296,1535,FALSE,4
16,2,514.7852578,358.0370686,50.75533927,59.41301979,127.3200046,2347,FALSE,2
16,1,566.3767551,362.3627145,39.20387188,43.05549319,142.0393673,1282,FALSE,1
16,3,523.2807519,304.3387822,54.40670776,57.62630805,170.5490795,2447,FALSE,3
16,4,432.6760104,195.5573664,43.21181473,45.35277191,34.31806321,1534,FALSE,4
17,2,514.4607173,360.9393681,50.85252662,59.21112667,130.2036424,2342,FALSE,2
17,1,566.0998428,362.3836478,38.38970191,43.27947027,148.4061592,1272,FALSE,1
17,3,524.5985886,307.641345,54.54426038,56.56102921,161.3392453,2409,FALSE,3
17,4,432.9967405,195.2633638,43.28426961,45.33037792,42.46106006,1534,FALSE,4
18,2,514.4175824,363.102705,51.15409599,59.51286138,127.3794926,2366,FALSE,2
18,1,565.5377074,362.1387632,38.96426373,44.28702619,146.3202306,1326,FALSE,1
18,3,526.7991837,310.2179592,54.72002046,57.34669844,175.5943835,2450,FALSE,3
18,4,433.2508207,195.1700591,43.02613956,45.21923331,26.13541874,1523,FALSE,4
19,2,514.304658,365.0939992,51.47683626,59.5189299,129.7670604,2383,FALSE,2
19,1,565.2100525,362.3285821,39.21028126,44.27978744,148.263559,1333,FALSE,1
19,3,528.7849593,312.6284553,54.73684304,57.55087654,1.411729822,2460,FALSE,3
19,4,433.194537,195.4443704,42.71752102,44.88160539,34.74785582,1501,FALSE,4
20,2,514.8379282,366.9323308,51.94147688,59.28734776,131.3646797,2394,FALSE,2
20,1,564.4522197,362.5598194,39.71858052,44.09500169,135.1676314,1329,FALSE,1
20,3,530.7170972,315.2820828,54.35928436,57.40590438,177.0834361,2439,FALSE,3
20,4,435.2785479,195.4607261,42.92591303,45.07671006,32.08272828,1515,FALSE,4
21,2,514.7331353,370.6648282,51.12815977,59.24786169,135.3545851,2357,FALSE,2
21,1,564.638953,362.3856813,38.2070684,44.17106473,145.9643199,1299,FALSE,1
21,3,532.567492,319.8390575,54.39273444,59.02783217,166.4070806,2504,FALSE,3
21,4,437.6432787,194.7245902,43.12097761,45.2117409,33.48495521,1525,FALSE,4
22,2,516.5203997,371.6594505,52.93775091,58.06595977,136.727432,2402,FALSE,2
22,1,563.3945098,363.8454902,37.88069902,44.4478817,129.7591332,1275,FALSE,1
22,3,533.6162698,320.477381,54.32201307,59.39156424,161.1126561,2520,FALSE,3
22,4,441.2742254,194.3269611,42.8992283,45.13933942,29.42946127,1517,FALSE,4
23,2,515.2645458,373.1444119,53.40642001,57.41150318,160.9486673,2389,FALSE,2
23,1,561.0365474,365.5676516,37.4619978,44.84450671,120.5385715,1286,FALSE,1
23,3,534.3421793,322.2259751,54.65493691,58.12620486,142.1230981,2487,FALSE,3
23,4,443.9057487,193.9705882,42.53441461,44.92708538,18.08594616,1496,FALSE,4
24,2,511.858985,373.7158902,53.54893451,57.6301836,171.4495986,2404,FALSE,2
24,1,558.6880403,368.3674352,39.40397682,45.14773865,118.720123,1388,FALSE,1
24,3,535.2154277,324.1658673,55.04709471,58.09313286,144.5685889,2502,FALSE,3
24,4,446.9854881,193.1503958,42.91606786,45.16634679,30.04607406,1516,FALSE,4
25,2,509.8610871,374.7238999,51.86141191,57.34390691,168.9076411,2318,FALSE,2
25,1,556.4776119,370.7526652,37.89341644,47.55952217,106.5178503,1407,FALSE,1
25,3,535.7952,326.3396,55.4464055,57.64330818,157.4080476,2500,FALSE,3
25,4,450.0930851,193.0432181,42.4667438,45.24087683,30.82983974,1504,FALSE,4
26,2,509.6830601,374.9924338,53.01298441,57.64316215,173.6868281,2379,FALSE,2
26,1,557.2685539,373.3641928,37.84842461,45.39605838,102.9945998,1307,FALSE,1
26,3,536.5694499,327.3783142,54.9794502,58.78440973,167.2857714,2527,FALSE,3
26,4,453.5912986,193.0659196,42.93809095,45.11479663,30.67145989,1517,FALSE,4
27,2,508.5997459,374.9089369,52.73425078,57.54635409,173.3887161,2361,FALSE,2
27,1,556.7280065,374.9822437,36.07167585,45.86704596,100.6494642,1239,FALSE,1
27,3,536.870639,328.5876127,55.02440943,59.41710069,170.2199901,2551,FALSE,3
27,4,457.446545,192.5521512,43.35461143,45.19644544,37.73286623,1534,FALSE,4
28,2,507.7689685,374.9816709,52.26542908,57.6477314,174.7114383,2346,FALSE,2
28,1,555.8862745,375.8423529,36.06359929,46.4928887,101.7033754,1275,FALSE,1
28,3,537.827907,329.4368217,55.18245161,59.85457516,172.3277492,2580,FALSE,3
28,4,460.7389034,192.7154047,43.32107161,45.16890183,26.9418524,1532,FALSE,4
29,2,509.0224906,375.3815077,54.02517585,57.2751216,7.266588035,2401,FALSE,2
29,1,557.2305743,377.0869932,35.72006886,44.62967248,93.04734359,1184,FALSE,1
29,3,538.2785062,329.8970997,54.70992035,58.92752063,163.5586352,2517,FALSE,3
29,4,463.6400532,192.3233533,42.82954584,44.85351185,39.67909787,1503,FALSE,4
30,2,509.1451131,376.2116944,52.55473606,57.29096956,176.6236818,2343,FALSE,2
30,1,557.0309837,377.0395043,36.06455569,47.62848393,91.4588108,1291,FALSE,1
30,3,538.5658153,330.5850688,55.34881799,58.90347964,170.0346427,2545,FALSE,3
30,4,466.8735099,191.2516556,42.98775038,44.91442849,33.04599829,1510,FALSE,4
31,2,509.7793447,376.4769805,53.6187972,57.88171272,7.342242903,2411,FALSE,2
31,1,557.653605,377.5540752,36.54827553,46.12753083,89.0036528,1276,FALSE,1
31,3,538.7766254,330.4188273,54.97026357,58.36325412,155.969625,2507,FALSE,3
31,4,469.6984127,191.271164,42.77031578,45.15961782,35.85537838,1512,FALSE,4
32,2,510.5312889,377.4571073,54.11635723,57.35898886,2.803336503,2413,FALSE,2
32,1,558.2118577,377.913834,36.66789488,45.51298403,85.86127408,1265,FALSE,1
32,3,538.8318091,331.3677932,54.93804244,58.5965016,158.2229278,2515,FALSE,3
32,4,473.3609121,190.6358306,43.17892459,45.38383365,31.65712308,1535,FALSE,4
33,2,511.9967078,377.5786008,54.56707041,57.50263549,35.52092539,2430,FALSE,2
33,1,560.151184,378.4234973,35.82101854,41.47009391,75.68319973,1098,FALSE,1
33,3,538.8223987,331.587547,53.75683444,56.96242571,124.3064224,2393,FALSE,3
33,4,476.0267857,190.1442308,41.8958756,44.36767053,37.57372737,1456,FALSE,4
34,2,511.8164506,378.7560778,55.08863126,57.70464665,17.98779397,2468,FALSE,2
34,1,559.8741722,378.625,35.64695501,44.48643537,73.83154648,1208,FALSE,1
34,3,538.8219682,332.1780318,54.51619133,57.38568475,136.8221542,2449,FALSE,3
