frame,track,x,y,width,height,angle,n,ignore,track_fixed
1,1,497.0482823,353.007428,34.09125032,41.80334984,112.8001098,1077,FALSE,1
2,1,497.0482823,353.007428,34.09125032,41.80334984,112.8001098,1077,FALSE,1
3,1,494.0202392,352.4553818,35.3135976,40.64098556,74.89768635,1087,FALSE,1
4,1,493.8152866,352.7898089,34.82087578,42.14845453,45.31433515,1099,FALSE,1
5,1,493.7155323,356.5,36.43854179,41.01477684,2.784867701,1146,FALSE,1
6,1,497.2658802,361.168784,34.76761108,42.21499098,127.3042212,1102,FALSE,1
7,1,505.4883721,360.9382826,35.17686677,41.53166431,91.53936644,1118,FALSE,1
8,1,512.7295374,355.9839858,35.44396396,41.19154143,44.47601336,1124,FALSE,1
9,1,515.4960212,347.4314766,36.2076008,40.4665175,6.163662784,1131,FALSE,1
10,1,511.0526316,339.6424682,34.92698879,41.57128756,154.0887425,1102,FALSE,1
11,1,505.9355416,337.6383169,34.79450056,41.70342979,127.7747352,1117,FALSE,1
12,1,502.3242754,337.495471,34.8233082,40.99384082,84.69211754,1104,FALSE,1
13,1,500.7019143,340.1230629,35.08038454,41.06523461,46.11807631,1097,FALSE,1
14,1,500.6520147,343.1236264,34.61373086,40.76252025,4.31093714,1092,FALSE,1
15,1,504.8691589,345.764486,34.51206274,40.75744385,137.5961084,1070,FALSE,1
16,1,510.4099906,347.7257304,34.51019915,40.33202721,95.33793218,1061,FALSE,1
17,1,517.6845943,341.3527803,34.91422395,41.08207285,55.70971732,1097,FALSE,1
18,1,520.5543379,332.4136986,34.77839197,40.42232828,3.170639751,1095,FALSE,1
19,1,516.293247,323.0786309,35.23702376,40.19959907,149.8953877,1081,FALSE,1
20,1,511.851083,318.9954874,34.42604334,41.55594694,119.1320758,1108,FALSE,1
21,1,508.4532578,317.8904627,34.31648077,40.15041592,88.5858258,1059,FALSE,1
22,1,502.9723282,319.0229008,33.15856748,41.21568918,53.49164056,1048,FALSE,1
23,1,497.6316288,320.6221591,34.13232116,40.38093837,23.28152559,1056,FALSE,1
24,1,498,322.810392,34.29574209,42.10426633,159.7868207,1097,FALSE,1
25,1,503.7371375,324.6997194,34.17517861,40.92267275,124.8906923,1069,FALSE,1
26,1,512.1548791,322.8478066,35.45419973,40.90086731,89.06113162,1117,FALSE,1
27,1,518.7173524,316.4686941,35.47925611,40.79040223,36.87375159,1118,FALSE,1
28,1,519.0475303,307.8592731,34.81092178,39.79256001,9.149780855,1073,FALSE,1
29,1,516.9736842,297.4473684,35.2365065,40.61392745,145.0433509,1102,FALSE,1
30,1,510.5229937,291.4743012,35.25829827,40.31642444,109.1834135,1109,FALSE,1
31,1,503.520073,290.9461679,34.84308923,41.08164968,60.59374736,1096,FALSE,1
32,1,499.8128492,293.3873371,34.66459485,40.55381216,24.12553995,1074,FALSE,1
33,1,501.4605888,297.0892688,34.38397656,40.26802489,151.5133282,1053,FALSE,1
34,1,506.5096419,299.3774105,34.60494538,40.60968533,104.1178158,1089,FALSE,1
35,1,517.6887477,297.3294011,35.2192871,40.50197602,55.50833488,1102,FALSE,1
36,1,522.0514905,287.3586269,35.41881603,39.99629401,6.46564527,1107,FALSE,1
37,1,523.2632558,277.7590698,34.61104691,40.4906725,137.954323,1075,FALSE,1
38,1,516.9508058,272.2264631,34.39643852,45.93004908,110.9525953,1179,FALSE,1
39,1,511.1268722,271.4185022,37.0940518,43.36671432,94.20432774,1135,FALSE,1
40,1,510.2688679,275.1415094,38.30007135,41.50550255,170.850083,1060,FALSE,1
41,1,512.2964527,277.1798986,34.09125032,41.80334984,133.9930244,1184,FALSE,1
42,1,519.6558872,277.774461,34.09125032,41.80334984,117.9357171,1206,FALSE,1
43,1,527.3383085,272.8648425,34.09125032,41.80334984,103.4635053,1206,FALSE,1
44,1,533.8096026,262.5604305,34.09125032,41.80334984,89.45253871,1208,FALSE,1
45,1,534.8160211,251.8459507,34.09125032,41.80334984,78.8776422,1136,FALSE,1
46,1,530.4820084,243.8719665,34.09125032,41.80334984,70.19511623,1195,FALSE,1
47,1,525.16403,241.3097419,34.09125032,41.80334984,65.69572284,1201,FALSE,1
48,1,521.9329372,242.6256367,34.09125032,41.80334984,61.33697348,1178,FALSE,1
49,1,519.539604,246.9513201,34.09125032,41.80334984,60.31163797,1212,FALSE,1
50,1,522.8741319,251.4079861,34.09125032,41.80334984,78.11249526,1152,FALSE,1
51,1,528.2688172,251.8287841,34.09125032,41.80334984,81.10926465,1209,FALSE,1
52,1,538.8479932,247.7438087,34.09125032,41.80334984,73.70317037,1171,FALSE,1
53,1,543.163786,239.6304527,34.09125032,41.80334984,65.81669111,1215,FALSE,1
