frame,track,x,y,width,height,angle,n,ignore,track_fixed
1,1,450.3471139,414.5148206,37.70528521,44.5216502,53.90656263,1282,FALSE,1
2,1,450.3471139,414.5148206,37.70528521,44.5216502,53.90656263,1282,FALSE,1
3,1,433.3945783,405.0956325,39.00034411,44.30954477,78.37115374,1328,FALSE,1
4,1,416.8491254,391.6319242,39.83984948,44.98491148,96.41761638,1372,FALSE,1
5,1,408.5587798,370.2886905,38.70231886,45.28932226,110.9086364,1344,FALSE,1
6,1,407.6554487,349.2475962,36.89726618,44.77758312,132.7142251,1248,FALSE,1
7,1,414.8330696,329.4216772,37.18504388,44.95603367,155.3313088,1264,FALSE,1
8,1,424.7453416,314.0628882,38.20491062,44.15069548,170.3508249,1288,FALSE,1
9,1,438.4925607,305.385278,36.16608909,45.60014699,11.90400041,1277,FALSE,1
10,1,456.7022428,299.841454,37.74360946,44.73131763,24.92643505,1293,FALSE,1
11,1,478.9180723,302.0690763,36.48605564,43.65136695,53.79427635,1245,FALSE,1
12,1,498.30532,313.1148805,38.18119808,43.91001502,82.66934867,1297,FALSE,1
13,1,507.5606661,329.2283902,36.67887555,44.21176506,107.9568698,1261,FALSE,1
14,1,515.1349507,345.6921911,37.63729253,45.19272065,126.3365267,1319,FALSE,1
15,1,515.8445313,359.3828125,36.97614651,44.72019269,145.1252417,1280,FALSE,1
16,1,506.8923315,374.0224632,37.85922895,44.65234006,162.1726841,1291,FALSE,1
17,1,494.4924812,384.3466165,38.12955027,45.00710796,9.889879485,1330,FALSE,1
18,1,480.5985507,389.5927536,40.06637466,44.67497558,27.07291626,1380,FALSE,1
19,1,456.4638205,385.3900145,40.67064606,44.52462664,57.74935252,1382,FALSE,1
20,1,437.1396256,380.900936,37.53592357,44.72005669,65.56091588,1282,FALSE,1
21,1,424.8252648,363.2987897,38.33398429,45.1781002,97.82779223,1322,FALSE,1
22,1,415.4752724,337.5733445,35.88657226,44.37685605,105.199732,1193,FALSE,1
23,1,418.5790336,313.7461097,35.07843272,45.56428009,143.7569853,1221,FALSE,1
24,1,423.7381818,307.0123636,39.26684032,45.61094793,2.063994544,1375,FALSE,1
25,1,443.3243458,299.2101507,37.2555562,45.82458119,24.80915359,1261,FALSE,1
26,1,462.7575277,295.8462758,36.80109347,45.81530524,26.8466327,1262,FALSE,1
27,1,481.7348837,299.175969,37.48951062,44.58899619,58.31767993,1290,FALSE,1
28,1,499.1712275,307.218921,37.98682016,43.50557524,79.38017789,1279,FALSE,1
29,1,510.2251149,319.2434916,37.54585722,44.86035175,104.5626609,1306,FALSE,1
30,1,515.5286041,333.382151,37.37732556,45.23409742,128.9747107,1311,FALSE,1
31,1,514.3118923,349.197457,38.89196029,44.51140399,149.6656876,1337,FALSE,1
32,1,504.6404744,361.1104522,38.9159056,44.81373033,179.0371201,1349,FALSE,1
33,1,487.9182482,365.9364964,39.61162512,44.69520742,27.88703718,1370,FALSE,1
34,1,470.187274,364.0809834,39.65491538,45.31428201,47.29589904,1383,FALSE,1
35,1,453.5827338,357.0014388,40.98880418,44.22296068,84.4633842,1390,FALSE,1
36,1,432.4749632,347.9337261,38.9803718,45.16488789,71.0349602,1358,FALSE,1
37,1,415.476,330.9528,36.78680752,45.07626793,91.27036798,1250,FALSE,1
38,1,407.0045011,309.9752438,39.07381293,44.05816595,113.5109781,1333,FALSE,1
39,1,408.44919,289.4344624,39.94785898,43.93561604,132.4170696,1358,FALSE,1
40,1,407.7752395,273.5187915,39.00671458,45.40322682,139.8707749,1357,FALSE,1
41,1,424.4311828,236.3715054,39.00671458,45.40322682,139.8707749,1860,FALSE,1
42,1,436.943968,222.2264151,39.00671458,45.40322682,139.8707749,1749,FALSE,1
43,1,438.8167331,215.7928287,48.17227091,45.40322682,139.8707749,2008,FALSE,1
44,1,458.076399,206.3654501,43.85036362,45.40322682,139.8707749,2055,FALSE,1
45,1,475.0284404,202.2600917,41.94736628,45.40322682,139.8707749,2180,FALSE,1
46,1,488.9677871,208.0658263,39.66013809,45.40322682,133.8707749,2142,FALSE,1
47,1,482.1685134,216.8836565,39.02636384,201.7438714,131.9879556,2166,FALSE,1
