frame,track,x,y,width,height,angle,n,ignore,track_fixed
1,1,526.4852561,261.4645629,45.06842985,68.34038709,132.4088895,1933,FALSE,1
2,1,526.4852561,261.4645629,45.06842985,68.34038709,132.4088895,1933,FALSE,1
3,1,529.2930862,289.7319639,45.52970752,70.84579774,151.2523674,1996,FALSE,1
4,1,520.2341713,313.2378957,46.49890708,70.47919142,177.8322897,2148,FALSE,1
5,1,496.018894,336.0511521,46.00075595,69.88905573,27.68263877,2170,FALSE,1
6,1,465.9057971,345.1200828,42.04963494,69.90488961,55.68236582,1932,FALSE,1
7,1,434.6581907,340.8689487,43.64850016,70.50952008,80.86263164,2045,FALSE,1
8,1,412.2411011,325.7233033,44.11496837,69.46396729,95.53920099,2107,FALSE,1
9,1,390.2702965,310.66456,43.00963377,69.6786525,99.59746891,2057,FALSE,1
10,1,366.2219426,289.2345244,42.82984856,68.54230544,121.3121862,1987,FALSE,1
11,1,351.4369706,256.2745391,42.87578606,69.70417132,145.0557788,2007,FALSE,1
12,1,348.2167866,226.9952038,44.76452993,68.82181067,170.3774645,2085,FALSE,1
13,1,350.3635347,203.3238255,40.20367969,70.0037503,7.234478389,1788,FALSE,1
14,1,359.288961,180.642316,40.99852123,68.14517041,13.51131481,1848,FALSE,1
15,1,378.5555556,151.571205,42.5197589,68.62174035,23.70971421,1917,FALSE,1
16,1,399.3575904,133.8395181,44.5552449,71.08107099,50.55120994,2075,FALSE,1
17,1,429.3619367,132.0105465,43.34389872,69.21695065,77.87516402,2086,FALSE,1
18,1,454.3593675,146.2362242,43.67706444,69.10393573,102.1785882,2087,FALSE,1
19,1,464.3120673,165.6216617,41.14247522,69.33981641,139.3459196,2022,FALSE,1
20,1,463.1338661,182.4005994,40.76067442,70.13696272,145.9255064,2002,FALSE,1
21,1,461.7152743,209.7370242,41.72931737,68.30850512,154.1262836,2023,FALSE,1
22,1,448.7848723,242.4248527,41.16629452,69.69714487,1.183834368,2036,FALSE,1
23,1,422.7734864,270.4822547,39.95343682,69.96950755,24.87644032,1916,FALSE,1
24,1,389.9904812,285.6948704,40.18762611,70.01425274,48.31340101,1891,FALSE,1
25,1,353.918996,283.8973189,39.33695525,70.70376792,73.98765328,1753,FALSE,1
26,1,324.2245509,272.2634731,43.12776242,69.74034253,87.16334892,2004,FALSE,1
27,1,310.5800098,263.0502216,44.10220639,66.96890249,91.40147082,2031,FALSE,1
28,1,279.4619536,237.30653,39.5690053,70.92585529,115.1872547,1853,FALSE,1
29,1,259.1433038,203.6393955,42.8110558,68.97992533,138.4396713,1919,FALSE,1
30,1,257.9393192,173.6970893,43.66353925,67.9433433,163.1745582,2027,FALSE,1
31,1,269.3122308,137.338932,43.64453319,95.42088541,5.426141617,2322,FALSE,1
32,1,289.8316498,127.4430014,44.69319613,66.83777662,37.49948412,2079,FALSE,1
33,1,310.307377,121.9334016,39.90764743,70.10608101,69.59198294,1952,FALSE,1
34,1,335.7659963,125.3308958,46.40213772,69.24973814,75.70895459,2188,FALSE,1
