frame,track,x,y,width,height,angle,n,ignore,track_fixed
1,1,411.852639296188,409.812316715543,40.692035719482,45.2515708449285,62.6450991062219,1364,FALSE,1
2,2,402.267450404115,425.612049963262,40.396367672415,44.6340218741164,101.366422300322,1361,FALSE,1
3,3,386.690760059613,435.626676602086,39.6543067965504,45.5701693962466,139.607053737008,1342,FALSE,1
4,3,370.817629179331,438.984042553192,40.0894845292044,44.7462863350729,2.89285758854027,1316,FALSE,1
5,3,364.315515961396,436.693392724573,40.1628473394822,45.272189101562,36.4306667648452,1347,FALSE,1
6,3,357.833973866257,434.075326671791,40.4178474804163,45.1760191058518,65.8426330892826,1301,FALSE,1
7,3,356.376515151515,431.139393939394,41.2256880264928,45.1256484000877,107.950135775955,1320,FALSE,1
8,3,357.808656036446,430.938496583144,41.1837750915342,45.1991350773328,132.331346764779,1317,FALSE,1
9,3,361.619834710744,434.818933132983,40.871125678928,45.072047533832,149.503189781655,1331,FALSE,1
10,3,366.866237482117,445.328326180258,41.2214188770666,45.6135681340619,14.0569563017643,1398,FALSE,1
11,3,369.250363901019,460.242358078603,40.5264240130707,45.1943033000654,44.0039870937529,1374,FALSE,1
12,3,364.554103122731,477.17211328976,40.847702405172,45.1103258826007,78.0232049737075,1377,FALSE,1
13,3,352.754145638068,491.680605623648,40.3866965133617,44.9191495287431,116.016953539255,1387,FALSE,1
14,3,337.172839506173,499.120551924474,39.9193902673342,45.551862290521,158.896199913548,1377,FALSE,1
15,3,323.618611746758,500.382913806255,40.2516431858149,45.2796882882011,15.967387753684,1311,FALSE,1
16,3,314.550340651022,497.815291445874,40.8266323081096,44.5686888834043,43.5943293147281,1321,FALSE,1
17,3,310.772727272727,494.635618479881,40.8039019593979,45.2935597369981,77.8148292387251,1342,FALSE,1
18,3,311.155929721816,493.316983894583,41.4504947952986,45.2241568569917,109.024626124051,1366,FALSE,1
19,3,313.412898443291,496.129725722758,41.0851702329369,45.1609827090064,138.248237933767,1349,FALSE,1
20,3,318.380602498163,502.265246142542,41.5538217446184,44.9460730555619,167.827486978745,1361,FALSE,1
21,3,323.216196673897,514.694866232827,40.3972257591329,45.5675717543788,20.5500398238055,1383,FALSE,1
22,3,323.749814402376,530.41722345954,40.0408034305351,45.7681133232501,50.4171970811712,1347,FALSE,1
23,3,316.490593342981,547.160636758321,40.7537728383662,45.4440155956162,91.5842786018115,1382,FALSE,1
24,3,302.614431486881,559.387026239067,40.4791905163611,45.7341265823385,129.440736281121,1372,FALSE,1
25,3,287.99837000815,564.991035044825,39.414656468847,44.7622651473513,166.12620767335,1227,FALSE,1
26,3,280.768992248062,564.36511627907,40.4869075971857,46.5052163683254,29.9792720157801,1290,FALSE,1
27,3,282.51397515528,576.186335403727,41.0891017913182,44.8981909643897,45.9242195226489,1288,FALSE,1
29,3,278.860073260073,594.935531135531,41.4252210095732,45.5314150253861,86.3139520123356,1365,FALSE,1
30,3,276.890401146132,603.611747851003,40.2473959035042,44.9108170952448,101.244108229264,1396,FALSE,1
31,3,275.878030859662,611.090374724467,40.8774919479133,45.0659481650407,121.474067746776,1361,FALSE,1
32,3,278.962406015038,614.214285714286,41.2149233508429,45.0956027555577,149.457257646012,1330,FALSE,1
33,3,282.112809315866,620.873362445415,41.5877272714229,44.5038392440567,169.489821486762,1374,FALSE,1
34,3,287.616314199396,631.960725075529,40.4438362853764,44.4308142890876,11.7055158366313,1324,FALSE,1
35,3,289.043768545994,648.077893175074,40.2697171835107,45.4799941136334,52.7471765450268,1348,FALSE,1
36,3,283.759650400583,664.957028404953,40.5886183850193,45.2273438230075,92.7715288834199,1373,FALSE,1
37,3,272.226470588235,677.556617647059,40.0364685348525,45.3174149640342,131.938541125946,1360,FALSE,1
38,3,259.469372693727,684.916605166052,40.7994727767195,45.6513336621561,163.969256739305,1355,FALSE,1
39,3,250.385347985348,686.127472527473,40.8866243155721,45.7203285348703,26.7293696314814,1365,FALSE,1
40,3,246.913533834586,686.675939849624,41.0467528907863,45.1939713029207,41.9180197346221,1330,FALSE,1
41,3,246.147719044171,685.412744388125,41.5937084762204,45.4987733090897,82.1835348026689,1381,FALSE,1
42,3,249.64400840925,685.814996496146,42.2053032781224,45.9054480933928,112.722963432249,1427,FALSE,1
43,3,256.090842490843,688.745054945055,41.5779799116593,45.1381108110229,141.067429169374,1365,FALSE,1
44,3,265.091559370529,697.283261802575,41.2290453496055,45.0410205291781,167.513270195592,1398,FALSE,1
45,3,271.894320632638,711.34291876348,41.1433899778485,45.1710013872267,25.989400122214,1391,FALSE,1
