frame,track,x,y,width,height,angle,n,ignore,track_fixed
1,1,448.6347861,335.4087974,52.17958153,61.39849095,140.576324,2478,FALSE,1
2,1,476.0334347,326.3913374,52.99310393,63.40221005,111.1467747,2632,FALSE,1
3,1,497.0102896,304.1551067,53.12654924,63.0422833,79.85125318,2624,FALSE,1
4,1,508.2386059,275.1635389,52.88986899,63.19005313,58.15977472,2611,FALSE,1
5,1,505.9680934,244.7587549,52.89347591,62.21639504,30.1661267,2570,FALSE,1
6,1,486.1568553,216.612989,53.34135443,63.32367473,163.5069538,2633,FALSE,1
7,1,456.194864,208.6287764,53.60362931,63.2041848,129.0400776,2648,FALSE,1
8,1,431.4405568,225.1602709,53.11743937,64.13583202,77.08571635,2658,FALSE,1
9,1,431.5486396,251.5609392,53.05081168,64.53436059,30.14521296,2683,FALSE,1
10,1,449.4600375,266.284803,52.6202856,64.67202732,159.7500226,2665,FALSE,1
11,1,478.3780534,260.7358136,52.77515082,64.3283866,111.307063,2661,FALSE,1
12,1,495.4077047,234.0080257,51.62828525,62.26671399,61.61082103,2492,FALSE,1
13,1,490.6162039,195.5720806,52.97119632,63.37969979,15.88395116,2629,FALSE,1
14,1,464.8931705,174.5528424,52.59887315,63.54413982,153.3115364,2621,FALSE,1
15,1,434.2221796,174.6016884,53.10240138,62.59506445,116.3509133,2606,FALSE,1
16,1,416.9083051,192.4483277,53.00275114,64.02129754,70.87822359,2661,FALSE,1
17,1,418.0595777,217.5131976,52.88787181,63.9628157,34.00273489,2652,FALSE,1
18,1,434.0642965,234.8207262,53.67549752,63.03619441,178.0828047,2644,FALSE,1
19,1,453.5429331,240.4802432,52.94693574,63.64101636,148.2764153,2632,FALSE,1
20,1,474.9567854,237.4681577,53.13960093,63.61717574,128.9132459,2638,FALSE,1
21,1,487.2628945,234.4526559,52.25799465,64.01287188,118.8403638,2598,FALSE,1
22,1,509.6604121,214.8020603,53.84251033,64.46577839,76.02763814,2718,FALSE,1
23,1,514.3964136,175.1316291,52.7390017,63.55483532,14.29890503,2621,FALSE,1
24,1,487.0550248,152.7692014,52.23257278,63.92528346,140.0935845,2617,FALSE,1
25,1,458.0266565,158.9211729,52.92301744,63.46559078,100.7665727,2626,FALSE,1
26,1,444.3547773,176.8618196,52.66796254,63.63916827,68.32294344,2627,FALSE,1
27,1,444.684492,198.8437739,52.65362864,63.48521912,39.81124355,2618,FALSE,1
28,1,455.2854421,217.3696646,53.03926197,63.08897348,12.80826827,2624,FALSE,1
29,1,472.3421557,229.6877637,52.87698164,63.23465616,167.8095276,2607,FALSE,1
30,1,495.2925452,235.5071536,52.97922176,63.99647481,139.4956253,2656,FALSE,1
31,1,519.1317092,229.3783784,53.65884545,62.7542393,114.6373519,2627,FALSE,1
32,1,537.3181818,214.5078888,53.48680066,63.62422259,90.53835686,2662,FALSE,1
33,1,545.4092795,196.8815541,53.39606554,63.30085453,61.2427616,2651,FALSE,1
34,1,543.8394461,172.7926647,53.41966068,63.86906582,28.34164355,2672,FALSE,1
35,1,529.8812734,148.6509363,53.8143333,63.25924128,1.934593854,2670,FALSE,1
36,1,510.5592204,133.55997,53.30120906,63.8474169,154.1847164,2668,FALSE,1
37,1,487.2436186,127.1332583,53.10491244,63.93533955,129.4900355,2664,FALSE,1
38,1,463.7259486,133.1893446,53.37209218,62.57247073,106.629389,2609,FALSE,1
39,1,448.8390977,145.3462406,52.90105917,64.1691821,77.25984849,2660,FALSE,1
40,1,440.8305847,162.8234633,52.72495496,64.55092104,51.41283242,2668,FALSE,1
41,1,444.4912945,181.9636639,52.92957032,63.66484041,29.69222141,2642,FALSE,1
42,1,454.4391435,197.8031555,53.08131111,63.95838417,5.267559322,2662,FALSE,1
43,1,474.660547,209.9385538,52.82934193,64.44779672,157.9512287,2669,FALSE,1
44,1,499.998873,212.1900826,52.51821963,64.68460755,127.0498609,2662,FALSE,1
45,1,523.6870517,200.1785579,52.735439,64.0544504,100.9680865,2649,FALSE,1
46,1,540.7331068,174.9041148,52.60738961,64.24873964,71.87566286,2649,FALSE,1
47,1,548.2410276,146.9278428,52.56857718,64.19107787,48.22974737,2647,FALSE,1
48,1,544.1699248,117.9274436,53.1236674,63.87714097,19.35499052,2660,FALSE,1
