frame,track,x,y,width,height,angle,n,ignore,track_fixed
1,1,455.5625251,273.5514676,112.7352415,124.8601251,142.9932348,9948,FALSE,1
2,2,421.1312257,313.8344358,107.2982188,134.1657315,114.3660855,10280,FALSE,1
3,3,374.2799884,309.289816,110.2563929,158.0811279,118.3476273,10379,FALSE,1
4,4,340.4027805,271.1782686,109.113973,118.5199391,32.37260164,10142,FALSE,1
5,1,364.7862854,228.3148776,102.6663699,114.5941336,109.5261725,8254,FALSE,1
6,2,422.349261,236.3177769,108.9511992,115.7405529,146.7871415,9878,FALSE,1
7,3,453.0758101,283.1981964,110.1603733,116.8494396,34.09813692,10091,FALSE,1
8,3,444.5097257,326.5444466,109.4895932,126.553622,103.9134372,10282,FALSE,1
9,4,410.524489,337.2639799,108.0793435,138.1185911,111.1126689,10372,FALSE,1
10,1,364.9525858,319.5021019,114.2785737,153.9446917,112.7214531,10229,FALSE,1
11,3,349.4101985,267.891629,108.9617157,119.1427619,41.60642765,10178,FALSE,1
12,3,370.2602598,222.5296968,106.5307463,117.2219558,87.2529181,9698,FALSE,1
13,4,417.3805913,210.750522,104.4023327,117.1792436,132.9562704,9099,FALSE,1
14,4,467.2640418,248.7574241,105.5240267,114.0933211,13.03901648,8991,FALSE,1
15,1,459.7516589,304.9704123,105.4894725,116.8666221,74.75654116,9193,FALSE,1
16,3,421.2345936,333.9768759,101.0223153,119.4034377,130.532077,8649,FALSE,1
17,3,385.1944263,319.422273,104.4401403,117.6089226,159.2572485,9186,FALSE,1
18,4,362.7870823,284.2122046,107.5401372,118.0280065,11.89097197,9816,FALSE,1
19,4,362.7331528,233.4027705,106.2573343,117.7504772,62.68133431,9601,FALSE,1
20,1,400.6048826,203.3565494,107.4746798,116.5564779,108.2497896,9749,FALSE,1
21,3,455.6823821,220.7739868,107.048669,117.3427625,157.2887757,9672,FALSE,1
22,4,477.0672488,275.0498846,109.3692223,116.2687716,40.8994999,9963,FALSE,1
23,4,446.9573189,322.9157399,108.4380096,118.1021233,94.32369848,9981,FALSE,1
24,1,404.5667694,329.8203242,107.1961794,148.199892,119.3829029,10057,FALSE,1
25,1,369.0813566,298.6301605,108.2112113,118.0438275,6.242580251,9907,FALSE,1
26,4,369.1627427,249.1585089,106.085436,117.9311488,58.77255177,9684,FALSE,1
27,4,408.7778462,219.2717949,106.9843119,117.5480217,108.4518376,9750,FALSE,1
28,4,461.1824862,231.2537494,108.4268492,116.9122158,153.7582679,9935,FALSE,1
29,1,475.7937626,276.8966801,109.1296287,116.2349835,34.56328511,9940,FALSE,1
30,1,447.2096295,326.015851,108.8504366,118.4561375,93.41336662,10094,FALSE,1
31,4,401.4679769,328.398743,108.0628839,150.01871,121.4212554,10024,FALSE,1
32,4,371.7331967,289.04375,107.5008602,118.0872437,25.16820424,9760,FALSE,1
33,1,390.5100841,244.6427486,107.6197534,117.0682428,73.34049773,9867,FALSE,1
34,1,442.0814747,234.9650677,107.4952537,117.3421094,129.724946,9819,FALSE,1
35,4,483.3699829,274.8118902,108.563863,116.7795782,11.26699569,9941,FALSE,1
36,4,472.2868736,322.0713126,108.7547674,116.2129825,67.35543468,9858,FALSE,1
37,1,428.2571624,343.6536619,106.3161087,146.1106314,119.7193419,10227,FALSE,1
38,1,393.7440464,328.7913748,108.6289305,117.3651056,167.0348766,9994,FALSE,1
39,4,386.1054162,277.1508526,107.5678588,118.4434047,41.33050407,9970,FALSE,1
40,4,421.8658892,240.2485171,107.8306962,118.0545142,94.42634242,9947,FALSE,1
41,4,477.5455939,250.372112,106.9008493,117.1459174,158.3445153,9782,FALSE,1
42,1,499.7839394,305.3573737,108.9582843,116.262535,34.59180662,9900,FALSE,1
43,1,476.945569,357.3587409,110.0500372,128.3561634,113.5935819,10325,FALSE,1
44,4,436.1768946,368.9267485,108.7321186,139.5125561,118.9317869,10266,FALSE,1
45,4,419.377562,338.0892419,116.8773229,140.5773145,121.6887836,10197,FALSE,1
46,1,452.4687916,306.6430255,107.1219627,117.9705601,106.7577239,9757,FALSE,1
47,1,505.9064493,324.5230333,107.9600029,116.7710062,159.3768337,9877,FALSE,1
