frame,track,x,y,width,height,angle,n,ignore,track_fixed
1,1,266.1961799,523.8818146,92.55401518,104.5402787,32.92958615,7539,FALSE,1
2,1,300.1961799,523.8818146,92.55401518,104.5402787,32.92958615,7539,FALSE,1
3,1,346.9711013,531.6737829,94.24726681,104.6391258,30.23134968,7682,FALSE,1
4,1,390.8289054,537.1598034,94.23710857,102.7259567,27.27643186,7528,FALSE,1
5,1,476.1210277,536.9775186,93.66203731,105.2413878,178.1941554,5916,FALSE,1
6,1,523.2516941,528.6737829,92.55401518,104.5402787,2.352686636,1033,FALSE,1
7,1,566.9711013,524.6737829,86.24726681,104.6391258,2.352686636,7682,FALSE,1
8,1,787.8289054,506.1598034,82.23710857,102.7259567,27.27643186,7528,FALSE,1
9,1,842.1210277,488.9775186,74.66203731,105.2413878,178.1941554,5916,FALSE,1
10,1,890.2516941,468.0851888,70.55401518,104.5402787,2.352686636,1033,FALSE,1
